Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A796897,Rocky,06/07/2019 17:36,06/07/2019 17:36,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,German Shepherd,Tan/Black,Rocky,06/17/2019 03:09:00 PM,06/17/2019 03:09:00 PM,11/07/2016,Dog,Intact Male,2 years,German Shepherd,Tan/Black,0
A734696,*Devin,09/11/2016 12:05,09/11/2016 12:05,6016 York Bridge Cir in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,White,*Devin,09/21/2016 07:26:00 PM,09/21/2016 07:26:00 PM,06/11/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White,0
A800994,Paco,07/29/2019 05:29:00 PM,07/29/2019 05:29:00 PM,Woodsworth Drive And Keats Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever,Black,Paco,08/31/2019 06:40:00 PM,08/31/2019 06:40:00 PM,07/29/2017,Dog,Neutered Male,2 years,Labrador Retriever,Black,0
A707004,Ranger,07/06/2015 15:27,07/06/2015 15:27,916 Reseach Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Orange Tabby,Ranger,09/05/2015 12:46,09/05/2015 12:46,05/30/2015,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby,0
A723203,*Butters,03/28/2016 01:51:00 PM,03/28/2016 01:51:00 PM,201 W Ben White Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pug/Chihuahua Shorthair,Fawn,*Butters,04/09/2016 12:40,04/09/2016 12:40,03/28/2012,Dog,Spayed Female,4 years,Pug/Chihuahua Shorthair,Fawn,0
A776894,,07/20/2018 03:22:00 PM,07/20/2018 03:22:00 PM,6807 Shadywood Dr in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black Tabby,,09/04/2018 08:25,09/04/2018 08:25,06/28/2018,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby,0
A703927,*Olive,05/30/2015 01:51:00 PM,05/30/2015 01:51:00 PM,505 Seminole in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,*Olive,07/19/2015 01:34:00 PM,07/19/2015 01:34:00 PM,04/30/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,0
A777464,Daffodil,07/29/2018 08:08:00 AM,07/29/2018 08:08:00 AM,4434 Frontier in Austin (TX),Stray,Injured,Dog,Intact Female,2 months,Labrador Retriever Mix,Cream,Daffodil,10/01/2018 16:25,10/01/2018 16:25,04/29/2018,Dog,Spayed Female,5 months,Labrador Retriever Mix,Cream,0
A676342,,04/08/2014 12:40,04/08/2014 12:40,6705 Cruz St in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Torbie,,04/08/2014 13:58,04/08/2014 13:58,03/24/2014,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Torbie,0
A759018,Ottis,09/25/2017 01:54:00 PM,09/25/2017 01:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/White,Ottis,09/27/2017 05:17:00 PM,09/27/2017 05:17:00 PM,09/25/2011,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Chocolate/White,0
A713481,Millie,10/07/2015 14:02,10/07/2015 14:02,20706 Postoak Parkway in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Welsh Springer Spaniel,White/Chocolate,Millie,10/12/2015 18:15,10/12/2015 18:15,10/07/2013,Dog,Spayed Female,2 years,Welsh Springer Spaniel,White/Chocolate,0
A798788,Tessa,06/30/2019 02:32:00 PM,06/30/2019 02:32:00 PM,4714 Nuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pbgv,Cream/Brown,Tessa,07/03/2019 14:08,07/03/2019 14:08,07/03/2016,Dog,Intact Female,3 years,Pbgv,Cream/Brown,0
A781160,Cash,10/01/2018 16:12,10/01/2018 16:12,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Boxer,Fawn/White,Cash,10/05/2018 19:18,10/05/2018 19:18,04/28/2013,Dog,Neutered Male,5 years,Boxer,Fawn/White,0
A679450,,05/21/2014 12:07:00 PM,05/21/2014 12:07:00 PM,7125 Howerington Circle in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,,05/21/2014 12:35:00 PM,05/21/2014 12:35:00 PM,04/29/2014,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,0
A765261,Chili,01/16/2018 10:12:00 AM,01/16/2018 10:12:00 AM,Wells Branch Pkwy And Hwy 35 in Williamson (TX),Stray,Normal,Dog,Spayed Female,18 years,Boston Terrier Mix,Black/White,Chili,02/01/2018 19:00,02/01/2018 19:00,01/18/2000,Dog,Spayed Female,18 years,Boston Terrier Mix,Black/White,0
A706331,*Peter,06/27/2015 02:47:00 PM,06/27/2015 02:47:00 PM,14004 Ceylon Tea Circle in Pflugerville (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,*Peter,08/29/2015 02:37:00 PM,08/29/2015 02:37:00 PM,06/05/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A726892,King,10/31/2016 11:55:00 AM,10/31/2016 11:55:00 AM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,8 months,Rottweiler/Siberian Husky,Black/Tan,King,11/08/2016 11:57,11/08/2016 11:57,02/16/2016,Dog,Neutered Male,8 months,Rottweiler/Siberian Husky,Black/Tan,0
A776911,Cookie,07/20/2018 06:46:00 PM,07/20/2018 06:46:00 PM,717 Egger Street in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Brown/Black,Cookie,08/07/2018 17:25,08/07/2018 17:25,07/21/2010,Dog,Intact Male,8 years,Chihuahua Shorthair Mix,Brown/Black,0
A677013,Leo,04/25/2014 01:49:00 PM,04/25/2014 01:49:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,Leo,05/16/2014 05:16:00 PM,05/16/2014 05:16:00 PM,04/18/2013,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0
A666419,,11/01/2013 01:33,11/01/2013 01:33,7301 Metropolis Dr in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Brown/Black,,11/01/2013 10:48,11/01/2013 10:48,10/01/2013,Other,Unknown,4 weeks,Bat,Brown/Black,1
A725130,*Reuben,04/26/2016 12:02:00 PM,04/26/2016 12:02:00 PM,15519 Belafonte Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,German Shepherd Mix,Black,*Reuben,05/02/2016 12:08,05/02/2016 12:08,05/26/2015,Dog,Neutered Male,11 months,German Shepherd Mix,Black,0
A775734,Jewels,07/03/2018 19:03,07/03/2018 19:03,1601 Royal Crest Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Staffordshire Mix,Chocolate/White,Jewels,07/07/2018 16:50,07/07/2018 16:50,03/03/2018,Dog,Spayed Female,4 months,Staffordshire Mix,Chocolate/White,0
A734587,Zoey,09/09/2016 11:53,09/09/2016 11:53,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,Zoey,11/04/2016 12:42,11/04/2016 12:42,07/13/2016,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0
A756971,Aria,08/28/2017 03:11:00 PM,08/28/2017 03:11:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 months,Border Collie Mix,White/Brown,Aria,09/01/2017 17:32,09/01/2017 17:32,12/28/2016,Dog,Spayed Female,8 months,Border Collie Mix,White/Brown,0
A789329,,02/19/2019 03:48:00 PM,02/19/2019 03:48:00 PM,500 East Anderson Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Miniature Schnauzer Mix,Tan/Tricolor,,02/24/2019 05:33:00 PM,02/24/2019 05:33:00 PM,12/04/2018,Dog,Neutered Male,2 months,Miniature Schnauzer Mix,Tan/Tricolor,0
A725587,,04/30/2016 03:51:00 PM,04/30/2016 03:51:00 PM,2204 Woodland Ave in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black Tabby,,04/30/2016 05:52:00 PM,04/30/2016 05:52:00 PM,04/15/2016,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black Tabby,0
A676139,*Iona,04/05/2014 11:56,04/05/2014 11:56,1707 Aggie Ln in Austin (TX),Stray,Sick,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby/White,*Iona,03/08/2017 07:51,03/08/2017 07:51,04/09/2008,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White,0
A741081,,12/27/2016 06:33:00 PM,12/27/2016 06:33:00 PM,4608 Westgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,,01/02/2017 20:06,01/02/2017 20:06,10/27/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A715637,*Jack,11/07/2015 12:27,11/07/2015 12:27,10411 N Lamar in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,*Jack,12/18/2015 05:52:00 PM,12/18/2015 05:52:00 PM,09/30/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0
A760872,,10/25/2017 11:11:00 AM,10/25/2017 11:11:00 AM,3105 South Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Torbie/White,,10/28/2017 07:34:00 PM,10/28/2017 07:34:00 PM,06/10/2017,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Torbie/White,0
A747895,,04/26/2017 01:07:00 PM,04/26/2017 01:07:00 PM,Old Lockhart Hwy in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,,05/04/2017 18:43,05/04/2017 18:43,04/15/2017,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,0
A670646,Beethoven,01/11/2014 15:00,01/11/2014 15:00,8304 Cedar Elm Trl in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Bernese Mountain Dog Mix,Black/White,Beethoven,01/15/2014 01:11:00 PM,01/15/2014 01:11:00 PM,11/11/2013,Dog,Spayed Female,2 months,Bernese Mountain Dog Mix,Black/White,0
A782800,*Rowdy,10/21/2018 12:07:00 PM,10/21/2018 12:07:00 PM,9201 Circuit Of The Americas Boulevard in Del Valle (TX),Stray,Normal,Dog,Intact Male,7 months,Boxer Mix,Tan/Black,*Rowdy,10/26/2018 02:38:00 PM,10/26/2018 02:38:00 PM,02/21/2018,Dog,Intact Male,8 months,Boxer Mix,Tan/Black,0
A667879,Primor,11/24/2013 01:12:00 PM,11/24/2013 01:12:00 PM,Springdale/ Gonzales in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Black,Primor,11/29/2013 01:55:00 PM,11/29/2013 01:55:00 PM,05/24/2009,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Black,0
A772558,,05/21/2018 10:46:00 AM,05/21/2018 10:46:00 AM,Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,,05/21/2018 02:42:00 PM,05/21/2018 02:42:00 PM,05/06/2018,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,0
A733138,*Hawaii,08/17/2016 06:11:00 PM,08/17/2016 06:11:00 PM,4424 Gaines Ranch Loop in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,*Hawaii,10/12/2016 12:29,10/12/2016 12:29,08/17/2015,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,0
A672771,Irma,02/16/2014 11:42:00 PM,02/16/2014 11:42:00 PM,Texas 130 Toll & Harold Green Rd in Travis (TX),Public Assist,Normal,Dog,Intact Female,7 years,Cavalier Span Mix,White/Liver,Irma,02/17/2014 01:51:00 PM,02/17/2014 01:51:00 PM,02/17/2007,Dog,Intact Female,7 years,Cavalier Span Mix,White/Liver,0
A744197,,02/25/2017 09:25:00 AM,02/25/2017 09:25:00 AM,20812 Verna in Manor (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd Mix,Sable,,03/02/2017 12:37,03/02/2017 12:37,12/25/2016,Dog,Neutered Male,2 months,German Shepherd Mix,Sable,0
A678402,,05/08/2014 16:18,05/08/2014 16:18,13904 Merseyside Dr in Pflugerville (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,,05/08/2014 18:16,05/08/2014 18:16,04/23/2014,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0
A665744,Lulu,10/22/2013 11:42:00 AM,10/22/2013 11:42:00 AM,E 7Th St And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Boxer Mix,Fawn/White,Lulu,10/27/2013 05:07:00 PM,10/27/2013 05:07:00 PM,07/27/2013,Dog,Spayed Female,3 months,Boxer Mix,Fawn/White,0
A713920,*Wren,10/15/2015 11:03:00 AM,10/15/2015 11:03:00 AM,7655 Ranch Rd 620 N in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Wren,12/16/2015 04:20:00 PM,12/16/2015 04:20:00 PM,08/31/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,0
A664536,*Angel,10/05/2013 09:21,10/05/2013 09:21,4434 Frontier Trail in Austin (TX),Stray,Injured,Cat,Spayed Female,3 years,Domestic Longhair Mix,Black/White,*Angel,04/18/2014 02:16:00 PM,04/18/2014 02:16:00 PM,10/05/2010,Cat,Spayed Female,3 years,Domestic Longhair Mix,Black/White,0
A752185,,06/19/2017 02:04:00 PM,06/19/2017 02:04:00 PM,13811 Lampting Dr in Travis (TX),Stray,Normal,Cat,Intact Female,0 years,Domestic Shorthair Mix,Tortie,,08/12/2017 15:00,08/12/2017 15:00,06/19/2017,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie,0
A763026,Max,07/01/2018 13:20,07/01/2018 13:20,Thompson Street And Henninger Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Tan/Black,Max,07/01/2018 14:06,07/01/2018 14:06,03/01/2017,Dog,Intact Male,1 year,German Shepherd,Tan/Black,0
A665883,*Betty,10/24/2013 11:11:00 AM,10/24/2013 11:11:00 AM,Mopac/360 in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Tan,*Betty,10/28/2013 03:49:00 PM,10/28/2013 03:49:00 PM,10/24/2012,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Tan,0
A790221,Lukas,03/06/2019 16:07,03/06/2019 16:07,11503 Parsons Rd in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Rottweiler Mix,Black/Brown,Lukas,03/15/2019 04:27:00 PM,03/15/2019 04:27:00 PM,03/06/2017,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Brown,0
A680535,Rose,06/04/2014 08:01,06/04/2014 08:01,24609 Long Hollow Trail in Travis (TX),Stray,Injured,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby,Rose,07/13/2014 08:14:00 AM,07/13/2014 08:14:00 AM,05/20/2014,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,0
A722869,Chip,03/23/2016 02:03:00 PM,03/23/2016 02:03:00 PM,12425 Lamplight Village in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Fawn/White,Chip,03/23/2016 06:59:00 PM,03/23/2016 06:59:00 PM,03/23/2013,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Fawn/White,0
A752493,,06/22/2017 07:03:00 PM,06/22/2017 07:03:00 PM,Bartholomew District Park in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Brown,,06/24/2017 12:05:00 PM,06/24/2017 12:05:00 PM,04/27/2017,Dog,Intact Male,1 month,Labrador Retriever Mix,Brown,0
A754499,,07/21/2017 01:51:00 PM,07/21/2017 01:51:00 PM,7020 East Highway 290 in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Cairn Terrier Mix,Black/Brown,,07/24/2017 11:47:00 AM,07/24/2017 11:47:00 AM,10/21/2016,Dog,Intact Female,9 months,Cairn Terrier Mix,Black/Brown,0
A726779,,05/14/2016 02:20:00 PM,05/14/2016 02:20:00 PM,13332 Elm Grove Rd in Travis (TX),Stray,Normal,Dog,Intact Male,3 weeks,Border Terrier Mix,White,,05/19/2016 02:57:00 PM,05/19/2016 02:57:00 PM,04/22/2016,Dog,Intact Male,3 weeks,Border Terrier Mix,White,0
A769640,,04/07/2018 17:07,04/07/2018 17:07,5240 Mathra Drive in Del Valle (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Cream Tabby/White,,04/10/2018 18:31,04/10/2018 18:31,09/07/2017,Cat,Intact Male,7 months,Domestic Shorthair Mix,Cream Tabby/White,0
A774829,,06/20/2018 06:27:00 PM,06/20/2018 06:27:00 PM,6711 Wentworth in Austin (TX),Stray,Sick,Cat,Intact Female,1 month,Siamese,Lynx Point,,06/26/2018 04:10:00 PM,06/26/2018 04:10:00 PM,04/20/2018,Cat,Intact Female,2 months,Siamese,Lynx Point,0
A679952,*Howard,05/28/2014 01:07:00 PM,05/28/2014 01:07:00 PM,1900 Cullen Ave in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Flame Point,*Howard,07/08/2014 14:47,07/08/2014 14:47,04/21/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Flame Point,0
A568438,Nancy,02/13/2014 12:32:00 PM,02/13/2014 12:32:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,Nancy,03/15/2014 05:33:00 PM,03/15/2014 05:33:00 PM,03/04/2010,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Calico,0
A693526,Tj,12/09/2014 17:22,12/09/2014 17:22,2200 Kale in Travis (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle,Tj,12/10/2014 18:14,12/10/2014 18:14,12/09/2012,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle,0
A739167,*Lola,11/28/2016 06:55:00 PM,11/28/2016 06:55:00 PM,5912 Marilyn Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair,White/Black,*Lola,02/24/2017 02:21:00 PM,02/24/2017 02:21:00 PM,11/28/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair,White/Black,0
A745145,*Donahue,03/13/2017 01:56:00 PM,03/13/2017 01:56:00 PM,11717 Mcangus Rd #A in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black/White,*Donahue,03/25/2017 11:39:00 AM,03/25/2017 11:39:00 AM,03/13/2016,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,0
A744371,Akila,02/27/2017 05:12:00 PM,02/27/2017 05:12:00 PM,4177 Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Anatol Shepherd Mix,Tan/Black,Akila,03/04/2017 17:54,03/04/2017 17:54,12/20/2016,Dog,Spayed Female,2 months,Anatol Shepherd Mix,Tan/Black,0
A668304,,12/04/2013 12:33,12/04/2013 12:33,Hwy 71 in Travis (TX),Stray,Normal,Dog,Intact Female,9 months,Labrador Retriever/Dachshund,Black/White,,01/30/2014 12:20:00 PM,01/30/2014 12:20:00 PM,02/06/2013,Dog,Spayed Female,11 months,Labrador Retriever/Dachshund,Black/White,0
A783610,*Lisa Lopes,11/02/2018 18:17,11/02/2018 18:17,1430 Frontier Valley Drive Mobile Home 76 in Austin (TX),Stray,Sick,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black,*Lisa Lopes,11/03/2018 12:00,11/03/2018 12:00,11/02/2010,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black,0
A807801,,10/30/2019 12:28:00 PM,10/30/2019 12:28:00 PM,Briarcreek Loop And Blake Manor Road in Travis (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Blue Tabby/White,,11/09/2019 18:05,11/09/2019 18:05,08/15/2019,Cat,Spayed Female,2 months,Domestic Shorthair,Blue Tabby/White,0
A789535,,02/23/2019 11:59:00 AM,02/23/2019 11:59:00 AM,4202 Avenue C in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Longhair Mix,Brown Tabby,,02/28/2019 10:48:00 AM,02/28/2019 10:48:00 AM,02/23/2017,Cat,Unknown,2 years,Domestic Longhair Mix,Brown Tabby,0
A805809,Houdini,10/05/2019 12:34,10/05/2019 12:34,Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Siberian Husky/Pit Bull,Tan/White,Houdini,10/13/2019 04:44:00 PM,10/13/2019 04:44:00 PM,10/02/2016,Dog,Neutered Male,3 years,Siberian Husky/Pit Bull,Tan/White,0
A697237,*Pinto,02/20/2015 11:58:00 AM,02/20/2015 11:58:00 AM,1700 Terri Rd in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,White/Brown,*Pinto,02/26/2015 06:21:00 PM,02/26/2015 06:21:00 PM,12/11/2014,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White/Brown,0
A777165,Juego,07/24/2018 01:18:00 PM,07/24/2018 01:18:00 PM,Parmer Lane And Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,American Staffordshire Terrier Mix,Chocolate/White,Juego,10/14/2018 04:02:00 PM,10/14/2018 04:02:00 PM,07/24/2016,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Chocolate/White,0
A780980,,09/23/2018 10:21:00 AM,09/23/2018 10:21:00 AM,7403 E Riverside Dr in Austin (TX),Stray,Sick,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Tricolor,,09/23/2018 10:36:00 AM,09/23/2018 10:36:00 AM,05/23/2018,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Tricolor,1
A745261,,03/15/2017 01:19:00 PM,03/15/2017 01:19:00 PM,11005 Floral Park in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby,,03/16/2017 09:00:00 AM,03/16/2017 09:00:00 AM,03/15/2016,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,0
A776124,Tinkerbell,07/09/2018 12:03,07/09/2018 12:03,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Maine Coon Mix,Tortie,Tinkerbell,08/21/2018 04:27:00 PM,08/21/2018 04:27:00 PM,07/09/2013,Cat,Spayed Female,5 years,Maine Coon Mix,Tortie,0
A789240,,02/18/2019 12:34:00 PM,02/18/2019 12:34:00 PM,3008 Pither Lane in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,,02/22/2019 04:29:00 PM,02/22/2019 04:29:00 PM,11/18/2018,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,0
A704867,,06/09/2015 17:17,06/09/2015 17:17,919 Springdale Rd in Austin (TX),Stray,Normal,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White,,06/09/2015 17:47,06/09/2015 17:47,06/01/2015,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White,0
A728127,*Johnny,05/31/2016 11:13:00 AM,05/31/2016 11:13:00 AM,6803 Lucy Cv in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,*Johnny,07/09/2016 15:21,07/09/2016 15:21,05/01/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0
A682239,*Rust,06/25/2014 05:11:00 PM,06/25/2014 05:11:00 PM,4900 Howard Ln in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Tortie,*Rust,08/03/2014 16:10,08/03/2014 16:10,05/25/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0
A726492,Arlo,05/11/2016 12:50,05/11/2016 12:50,7101 Ed Bluestein Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Catahoula Mix,Brown Brindle,Arlo,07/06/2016 18:26,07/06/2016 18:26,05/11/2016,Dog,Neutered Male,1 month,Catahoula Mix,Brown Brindle,0
A764943,*Sirrus,03/26/2018 01:09:00 PM,03/26/2018 01:09:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Labrador Retriever/Alaskan Husky,White,*Sirrus,03/29/2018 06:48:00 PM,03/29/2018 06:48:00 PM,01/09/2017,Dog,Neutered Male,1 year,Labrador Retriever/Alaskan Husky,White,0
A680375,*Hilda,06/02/2014 11:25,06/02/2014 11:25,6603 N Ih 35 #114 in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,*Hilda,07/29/2014 02:26:00 PM,07/29/2014 02:26:00 PM,06/02/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,0
A731200,Cona,07/18/2016 11:16:00 AM,07/18/2016 11:16:00 AM,Old Lockhart Hwy And Thaxton Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Border Collie Mix,Tan/White,Cona,07/19/2016 10:12:00 PM,07/19/2016 10:12:00 PM,07/18/2015,Dog,Spayed Female,1 year,Border Collie Mix,Tan/White,0
A666072,*Jim,10/26/2013 02:45:00 PM,10/26/2013 02:45:00 PM,5240 Mathra in Del Valle (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Jim,10/30/2013 03:14:00 PM,10/30/2013 03:14:00 PM,09/26/2013,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,0
A733289,,08/19/2016 05:36:00 PM,08/19/2016 05:36:00 PM,Moore Rd in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Dachshund Longhair Mix,Black/Red,,08/24/2016 02:43:00 PM,08/24/2016 02:43:00 PM,08/19/2014,Dog,Spayed Female,2 years,Dachshund Longhair Mix,Black/Red,0
A797333,Vincent,06/12/2019 12:06,06/12/2019 12:06,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,14 years,Domestic Shorthair,Cream Tabby,Vincent,06/24/2019 12:05:00 PM,06/24/2019 12:05:00 PM,06/12/2005,Cat,Neutered Male,14 years,Domestic Shorthair,Cream Tabby,0
A692630,*Stardust,11/23/2014 04:42:00 PM,11/23/2014 04:42:00 PM,3100 Stardust Dr in Austin (TX),Stray,Normal,Dog,Intact Female,6 years,Pit Bull Mix,Blue/White,*Stardust,05/05/2015 16:39,05/05/2015 16:39,04/24/2008,Dog,Spayed Female,7 years,Pit Bull Mix,Blue/White,0
